name,state,place_type,subtype,favorite,lon,lat
Bark Camp,VA,camps,NF,false,-82.528,36.868
Bear Creek Lake State Park,VA,camps,SP,false,-78.274,37.533
Beartree,VA,camps,NF,false,-81.682,36.667
Belle Isle State Park,VA,camps,SP,false,-76.581,37.776
Bethel Military,VA,camps,MIL,false,-76.431,37.092
Big Meadows - Shenandoah National Park,VA,camps,NP,false,-78.439,38.527
Blowing Springs,VA,camps,NF,false,-79.884,38.069
Bolar Mountain,VA,camps,NF,false,-79.974,37.985
Breaks InterState Park,VA,camps,SP,false,-82.295,37.290
Buffalo Landing - Kerr Reservoir,VA,camps,COE,false,-78.631,36.662
Bull Run Regional Park,VA,camps,CP,false,-77.476,38.801
Burke Lake Park,VA,camps,CP,false,-77.302,38.760
Camp Roosevelt,VA,camps,NF,false,-78.518,38.731
Cane Patch,VA,camps,NF,false,-82.679,37.102
Cape Henry RV Military,VA,camps,MIL,false,-76.007,36.927
Cave Mountain Lake,VA,camps,NF,false,-79.534,37.574
Cave Springs,VA,camps,NF,false,-82.922,36.802
Champs RV Military - A P Hill,VA,camps,MIL,false,-77.334,38.091
Chickahominy Riverfront Park,VA,camps,CP,false,-76.873,37.265
Chippokes Plantation State Park,VA,camps,SP,false,-76.748,37.140
Claytor Lake State Park,VA,camps,SP,false,-80.624,37.062
Comers Rock,VA,camps,NF,false,-81.225,36.763
Cranesnest  - John W. Flannagan Reservoir,VA,camps,COE,false,-82.407,37.157
Douthat State Park,VA,camps,SP,false,-79.802,37.897
Elizabeth Furnace,VA,camps,NF,false,-78.331,38.925
Fairy Stone State Park,VA,camps,SP,false,-80.108,36.798
First Landing State Park,VA,camps,SP,false,-76.052,36.918
Fort Belvoir Travel and RV Camp,VA,camps,MIL,false,-77.145,38.697
Fort Eustis Military,VA,camps,MIL,false,-76.595,37.161
Gatewood Park,VA,camps,CP,false,-80.873,37.044
Gentrys Landing,VA,camps,CP,false,-80.821,37.374
Glen Maury Park,VA,camps,CP,false,-79.368,37.731
Goose Dam,VA,camps,CP,false,-79.883,36.897
Goose Point - Philpott Lake,VA,camps,COE,false,-80.059,36.804
Gosnolds Hope Park,VA,camps,CP,false,-76.334,37.073
Grapevine - Fishtrap Lake,VA,camps,COE,false,-82.357,37.432
Grayson Highlands State Park,VA,camps,SP,false,-81.485,36.639
Grindstone,VA,camps,NF,false,-81.542,36.688
Hidden Valley,VA,camps,NF,false,-79.822,38.099
High Knob,VA,camps,NF,false,-82.622,36.890
Holliday Lake State Park,VA,camps,SP,false,-78.639,37.396
Hone Quarry,VA,camps,NF,false,-79.135,38.460
Horseshoe Point - Philpott Lake,VA,camps,COE,false,-80.076,36.834
Hungry Mother State Park,VA,camps,SP,false,-81.525,36.871
Hurricane,VA,camps,NF,false,-81.491,36.723
Ivy Hill Rec Area - Kerr Reservoir,VA,camps,COE,false,-78.434,36.574
James River State Park,VA,camps,SP,false,-78.798,37.624
Jamison Mill Park - Philpott Lake,VA,camps,COE,false,-80.065,36.851
Kings Creek - Cheatham Annex Military,VA,camps,MIL,false,-76.594,37.282
Kiptopeke State Park,VA,camps,SP,false,-75.975,37.174
Lake Anna State Park,VA,camps,SP,false,-77.824,38.115
Lake Fairfax,VA,camps,CP,false,-77.321,38.963
Lake Robertson,VA,camps,CP,false,-79.610,37.798
Lewis Mountain - Shenandoah National Park,VA,camps,NP,false,-78.477,38.436
Little Creek RV Military,VA,camps,MIL,false,-76.161,36.909
Little Fort OHV,VA,camps,NF,false,-78.444,38.867
Loft Mountain - Shenandoah National Park,VA,camps,NP,false,-78.669,38.246
Longwood Rec Area - Kerr Reservoir,VA,camps,COE,false,-78.551,36.577
Lower Twin Branch - John W. Flannagan Reservoir,VA,camps,COE,false,-82.375,37.233
Lunga Park Military - Quantico MCB,VA,camps,MIL,false,-77.459,38.525
Mathews Arm - Shenandoah National Park,VA,camps,NP,false,-78.294,38.751
Mcclintic Point,VA,camps,NF,false,-79.922,38.013
Morris Hill,VA,camps,NF,false,-79.970,37.934
Natural Chimneys Regional Park,VA,camps,CP,false,-79.088,38.352
Natural Tunnel State Park,VA,camps,SP,false,-82.735,36.702
Newport News City Park,VA,camps,CP,false,-76.551,37.187
North Bend Park - Kerr Reservoir,VA,camps,COE,false,-78.311,36.595
North Creek,VA,camps,NF,false,-79.586,37.542
North River,VA,camps,NF,false,-79.207,38.339
Northwest River Park,VA,camps,CP,false,-76.153,36.582
Oak Ridge - Prince William Forest Park,VA,camps,NP,false,-77.417,38.600
Occoneechee State Park,VA,camps,SP,false,-78.530,36.628
Ocean Pines RV Military - Oceana NAS,VA,camps,MIL,false,-76.026,36.796
Oronoco,VA,camps,NF,false,-79.265,37.748
Otter Creek - Blue Ridge Parkway,VA,camps,NP,false,-79.339,37.574
Peaks of Otter - Blue Ridge Parkway,VA,camps,NP,false,-79.602,37.442
Pocahontas State Park,VA,camps,SP,false,-77.572,37.366
Pohick Bay Regional Park,VA,camps,CP,false,-77.175,38.671
Pound River - John W. Flannagan Reservoir,VA,camps,COE,false,-82.453,37.195
Prince William Forest RV Campground,VA,camps,NP,false,-77.352,38.603
Raccoon Branch,VA,camps,NF,false,-81.426,36.746
Raven Cliff,VA,camps,NF,false,-81.070,36.836
Richmond  RV Camp Military,VA,camps,MIL,false,-77.446,37.413
Roanoke Mountain - Blue Ridge Parkway,VA,camps,NP,false,-79.952,37.226
Rocky Knob - Blue Ridge Parkway,VA,camps,NP,false,-80.345,36.833
Rudds Creek - Kerr Reservoir,VA,camps,COE,false,-78.442,36.655
Rural Retreat Lake,VA,camps,CP,false,-81.285,36.865
Ryans Branch - Philpott Lake,VA,camps,COE,false,-80.100,36.851
Salthouse Branch - Philpott Lake,VA,camps,COE,false,-80.036,36.811
Sea Mist RV Military - Dam Neck Annex,VA,camps,MIL,false,-75.956,36.772
Shenandoah River - Guest State Park,VA,camps,SP,false,-78.307,38.855
Sherando Lake - Family Campground,VA,camps,NF,false,-79.010,37.920
Smith Mountain Lake,VA,camps,SP,false,-79.595,37.090
Staunton River State Park,VA,camps,SP,false,-78.668,36.699
Steel Bridge,VA,camps,NF,false,-80.219,37.601
Stony Fork,VA,camps,NF,false,-81.181,37.010
Sugar Hollow City Park,VA,camps,CP,false,-82.111,36.646
The Colonies Military,VA,camps,MIL,false,-76.301,37.015
The Pines,VA,camps,NF,false,-80.077,37.605
Todd Lake,VA,camps,NF,false,-79.211,38.366
Twin Lakes State Park,VA,camps,SP,false,-78.272,37.206
Walnut Flats,VA,camps,NF,false,-80.886,37.198
Westmoreland State Park,VA,camps,SP,false,-76.868,38.165
White Rocks,VA,camps,NF,false,-80.492,37.430
Holly River State Park,WV,camps,SP,false,-80.366,38.667
Wilderness Road - Cumberland Gap National Park,VA,camps,NP,false,-83.631,36.602
Army Camp - New River National Scenic River,WV,camps,NP,false,-81.071,37.855
Audra State Park,WV,camps,SP,false,-80.065,39.040
Babcock State Park,WV,camps,SP,false,-80.949,38.005
Bakers Run,WV,camps,COE,false,-80.575,38.635
Battle Run,WV,camps,COE,false,-80.908,38.218
Bear Heaven,WV,camps,NF,false,-79.679,38.930
Beaver Creek - Watoga State Park,WV,camps,SP,false,-80.094,38.101
Beckley Exhibition Coal Mine Campground,WV,camps,CP,false,-81.197,37.785
Bee Run,WV,camps,COE,false,-80.678,38.667
Beech Fork State Park,WV,camps,SP,false,-82.345,38.308
Bertha - Bluestone WMA,WV,camps,SFW,false,-80.876,37.573
Big Bend,WV,camps,NF,false,-79.238,38.890
Big Rock,WV,camps,NF,false,-80.524,38.296
Bird Run,WV,camps,NF,false,-79.853,38.270
Bishop Knob,WV,camps,NF,false,-80.490,38.338
Blackwater Falls State Park,WV,camps,SP,false,-79.495,39.112
Blue Bend,WV,camps,NF,false,-80.269,37.920
Blue Jay - Camp Creek State Park,WV,camps,SP,false,-81.129,37.516
Blue Meadow,WV,camps,NF,false,-80.250,37.925
Bluestone State Park,WV,camps,SP,false,-80.936,37.618
Brandywine,WV,camps,NF,false,-79.200,38.595
Bull Falls - Bluestone WMA,WV,camps,SFW,false,-80.908,37.539
Bulltown,WV,camps,COE,false,-80.562,38.784
Cabwaylingo State Forest,WV,camps,SF,false,-82.387,37.981
Camp Run,WV,camps,NF,false,-79.108,38.747
Canaan Valley Resort State Park,WV,camps,SP,false,-79.462,39.027
Cedar Branch - Bluestone WMA,WV,camps,SFW,false,-80.846,37.495
Cedar Creek State Park,WV,camps,SP,false,-80.862,38.882
Chestnut Ridge Regional Park,WV,camps,CP,false,-79.770,39.678
Chief Cornstalk WMA,WV,camps,SFW,false,-82.040,38.742
Chief Logan State Park,WV,camps,SP,false,-82.008,37.894
Conaway Run State Lake,WV,camps,SFW,false,-80.851,39.424
Coopers Rock State Forest,WV,camps,SF,false,-79.794,39.642
Cranberry,WV,camps,NF,false,-80.442,38.325
Day Run,WV,camps,NF,false,-80.215,38.288
East Fork,WV,camps,COE,false,-82.299,38.070
Gerald R. Freeman,WV,camps,COE,false,-80.547,38.678
Grafton City Park,WV,camps,CP,false,-80.028,39.318
Grandview/Glade - New River National Scenic River,WV,camps,NP,false,-81.072,37.853
Greenbrier State Forest,WV,camps,SF,false,-80.354,37.753
Guyandotte,WV,camps,COE,false,-81.744,37.614
Handley WMA,WV,camps,SFW,false,-80.194,38.312
Hawk,WV,camps,NF,false,-78.499,39.116
Horseshoe,WV,camps,NF,false,-79.602,39.180
Indian Mills - Bluestone WMA,WV,camps,SFW,false,-80.820,37.530
Island,WV,camps,NF,false,-79.705,38.579
Kanawha State Forest,WV,camps,SF,false,-81.659,38.247
Keatley - Bluestone WMA,WV,camps,SFW,false,-80.808,37.513
Kittie Wilson,WV,camps,CP,false,-81.098,38.869
Kumbrabow State Forest,WV,camps,SF,false,-80.072,38.655
Lake Stephens Campground,WV,camps,CP,false,-81.272,37.788
Laurel Fork,WV,camps,NF,false,-79.692,38.740
Lewis Wetzel WMA,WV,camps,SFW,false,-80.636,39.493
Mash Fork - Camp Creek State Park,WV,camps,SP,false,-81.134,37.505
Meadow Creek  - Lake Sherwood,WV,camps,NF,false,-80.005,38.012
Moncove Lake State Park,WV,camps,SP,false,-80.355,37.618
Mountwood County Park,WV,camps,CP,false,-81.307,39.248
Mouth of Indian Creek - Bluestone WMA,WV,camps,SFW,false,-80.858,37.531
North Bend State Park,WV,camps,SP,false,-81.110,39.223
Panther State Forest,WV,camps,SF,false,-81.876,37.424
Panther WMA,WV,camps,SFW,false,-81.882,37.457
Pine Run  - Lake Sherwood,WV,camps,NF,false,-80.007,38.009
Pipestem Resort State Park,WV,camps,SP,false,-80.995,37.533
Pleasant Creek WMA,WV,camps,SFW,false,-80.017,39.262
Plum Orchard Lake WMA,WV,camps,SFW,false,-81.208,37.947
Pocahontas,WV,camps,NF,false,-79.968,38.102
Red Creek,WV,camps,NF,false,-79.316,39.032
Riffle Run,WV,camps,COE,false,-80.623,38.845
Riverside - Watoga State Park,WV,camps,SP,false,-80.182,38.113
Robert W. Craig - Jennings Randolph Lake,WV,camps,COE,false,-79.128,39.446
Seneca Shadows,WV,camps,NF,false,-79.386,38.827
Seneca State Forest,WV,camps,SF,false,-79.922,38.307
Shanklins Ferry - Bluestone WMA,WV,camps,SFW,false,-80.868,37.474
Short Mountain WMA,WV,camps,SFW,false,-78.664,39.205
Sleepy Creek WMA,WV,camps,SFW,false,-78.155,39.508
Spruce Knob Lake,WV,camps,NF,false,-79.588,38.707
St. Albans Roadside Park,WV,camps,CP,false,-81.826,38.389
Stone Cliff - New River National Scenic River,WV,camps,NP,false,-81.065,37.937
Stonewall Jackson State Park,WV,camps,SP,false,-80.498,38.942
Stuart,WV,camps,NF,false,-79.774,38.917
Summit Lake,WV,camps,NF,false,-80.445,38.249
Tea Creek,WV,camps,NF,false,-80.231,38.342
Teter Creek WMA,WV,camps,SFW,false,-79.872,39.104
Tomlinson Run State Park,WV,camps,SP,false,-80.578,40.542
Trout Pond,WV,camps,NF,false,-78.734,38.953
Twin Falls Resort State Park,WV,camps,SP,false,-81.428,37.622
Tygart Lake State Park,WV,camps,SP,false,-79.994,39.308
War Ridge - New River National Scenic River,WV,camps,NP,false,-80.975,37.846
West Shore - Lake Sherwood,WV,camps,NF,false,-80.012,38.007
Wolf Gap,WV,camps,NF,false,-78.689,38.925
Arrowhead,NC,camps,NF,false,-80.072,35.439
Badin Lake,NC,camps,NF,false,-80.076,35.448
Balsam Mountain - Great Smoky Mountains,NC,camps,NP,false,-83.175,35.566
Bandits Roost - W. Kerr Scott Reservoir,NC,camps,COE,false,-81.245,36.120
Bear Creek Hunt Camp,NC,camps,NF,false,-83.949,35.420
Big Creek - Great Smoky Mountains,NC,camps,NP,false,-83.110,35.753
Black Mountain,NC,camps,NF,false,-82.221,35.753
Blue Valley Camp,NC,camps,NF,false,-83.230,35.012
Boone Fork,NC,camps,NF,false,-81.616,36.007
Bullocksville State Rec Area - Kerr Lake,NC,camps,SRA,false,-78.365,36.459
Cabin Lake County Park,NC,camps,CP,false,-77.799,34.981
Cable Cove,NC,camps,NF,false,-83.752,35.433
Cane Creek Park,NC,camps,CP,false,-80.686,34.844
Cape Point - Cape Hatteras National Seashore,NC,camps,NS,false,-75.544,35.239
Carolina Beach State Park,NC,camps,SP,false,-77.904,34.045
Carolina Hemlocks,NC,camps,NF,false,-82.205,35.804
Cataloochee - Great Smoky Mountains,NC,camps,NP,false,-83.087,35.632
Cedar Point,NC,camps,NF,false,-77.082,34.692
Chalk Banks - Lumber River State Park,NC,camps,SP,false,-79.353,34.903
Cheoah Point,NC,camps,NF,false,-83.872,35.369
Cherry Point MCCS Military,NC,camps,MIL,false,-76.910,34.900
Clay Co Park,NC,camps,CP,false,-83.797,35.007
Cliffs of the Neuse State Park,NC,camps,SP,false,-77.899,35.234
Contentnea Creekside City Park,NC,camps,CP,false,-77.437,35.367
County Line State Rec Area - Kerr Lake,NC,camps,SRA,false,-78.316,36.527
Crabtree Meadows - Blue Ridge Parkway,NC,camps,NP,false,-82.146,35.815
Crosswinds State Rec Area - Jordan Lake,NC,camps,SRA,false,-78.993,35.743
Curtis Creek,NC,camps,NF,false,-82.197,35.690
Dan Nicholas Park,NC,camps,CP,false,-80.354,35.632
Davidson River,NC,camps,NF,false,-82.729,35.283
Deep Creek - Great Smoky Mountains,NC,camps,NP,false,-83.436,35.461
Deep Water Trailt Horse Camp,NC,camps,NF,false,-80.086,35.403
Doughton Park  - Blue Ridge Parkway,NC,camps,NP,false,-81.184,36.422
East Morris Mountain,NC,camps,NF,false,-79.958,35.440
Elizabeth City Lodging Military,NC,camps,MIL,false,-76.180,36.270
Fires Creek Hunt Camp,NC,camps,NF,false,-83.868,35.087
Fisher Landing,NC,camps,NF,false,-76.977,35.000
Fontana Village Resort,NC,camps, ,false,-83.821,35.433
Fort Fisher Air Force Military,NC,camps,MIL,false,-77.914,33.981
Fort Hamby Park - W. Kerr Scott Reservoir,NC,camps,COE,false,-81.270,36.130
Frisco - Cape Hatteras National Seashore,NC,camps,NS,false,-75.598,35.237
Gibson Cove - Chatuge Reservoir,NC,camps,CP,false,-83.800,35.011
Goose Creek State Park,NC,camps,SP,false,-76.897,35.479
Hagan-Stone Park,NC,camps,CP,false,-79.736,35.949
Hammocks Beach State Park,NC,camps,SP,false,-77.139,34.672
Hanging Dog,NC,camps,NF,false,-84.081,35.107
Hanging Rock State Park,NC,camps,SP,false,-80.268,36.394
Henderson Point State Rec Area - Kerr Lake,NC,camps,SRA,false,-78.345,36.534
Hibernia State Rec Area - Kerr Lake,NC,camps,SRA,false,-78.371,36.511
Holly Point - Falls Lake,NC,camps,SRA,false,-78.657,36.013
Horse Cove,NC,camps,NF,false,-83.920,35.365
Jackrabbit Mountain,NC,camps,NF,false,-83.772,35.011
John H. Moss Lake City Campground,NC,camps,CP,false,-81.462,35.278
Jones Lake State Park,NC,camps,SP,false,-78.604,34.699
Julian Price - Blue Ridge Parkway,NC,camps,NP,false,-81.761,36.132
Kimball Point State Rec Area - Kerr Lake,NC,camps,SRA,false,-78.318,36.541
Lake James State Park,NC,camps,SP,false,-81.907,35.732
Lake Norman State Park,NC,camps,SP,false,-80.944,35.668
Lake Powhatan,NC,camps,NF,false,-82.630,35.485
Lake Reidsville Rec Park,NC,camps,CP,false,-79.683,36.295
Linville Falls - Blue Ridge Parkway,NC,camps,NP,false,-81.933,35.966
Marleys Ford - W. Kerr Scott Reservoir,NC,camps,COE,false,-81.311,36.103
McDowell Nature Preserve,NC,camps,CP,false,-81.023,35.101
Medoc Mt. State Park,NC,camps,SP,false,-77.888,36.256
Merchants Millpond State Park,NC,camps,SP,false,-76.684,36.430
Morrow Mountain State Park,NC,camps,SP,false,-80.105,35.371
Mortimer,NC,camps,NF,false,-81.761,35.991
Mount Mitchell State Park,NC,camps,SP,false,-82.271,35.760
Mount Pisgah - Blue Ridge Parkway,NC,camps,NP,false,-82.756,35.404
Neuse River - Flanner Beach,NC,camps,NF,false,-76.949,34.982
Neuseway Nature Park,NC,camps,CP,false,-77.587,35.261
New River State Park,NC,camps,SP,false,-81.385,36.415
North Mills River,NC,camps,NF,false,-82.646,35.407
Nutbush Bridge State Rec Area - Kerr Lake,NC,camps,SRA,false,-78.398,36.413
Oak Hollow City Campground,NC,camps,CP,false,-80.004,36.007
Ocracoke Island - Cape Hatteras National Seashore,NC,camps,NS,false,-75.906,35.134
Onslow Beach Military - Camp Lejeune,NC,camps,MIL,false,-77.268,34.572
Oregon Inlet - Cape Hatteras National Seashore,NC,camps,NS,false,-75.544,35.799
Oyster Point Camp,NC,camps,NF,false,-76.755,34.766
Parkers Creek State Rec Area - Jordan Lake,NC,camps,SRA,false,-79.038,35.749
Patience Park Toe River Campground,NC,camps,CP,false,-82.183,35.885
Pettigrew State Park,NC,camps,SP,false,-76.421,35.796
Pilot Mountain State Park,NC,camps,SP,false,-80.466,36.344
Poplar Point State Rec Area - Jordan Lake,NC,camps,SRA,false,-79.016,35.724
Princess Ann - Lumber River State Park,NC,camps,SP,false,-79.003,34.390
Ralph Andrews County Park,NC,camps,CP,false,-83.154,35.192
Rocky Bluff,NC,camps,NF,false,-82.846,35.862
Rolling View - Falls Lake,NC,camps,SRA,false,-78.727,36.005
Satterwhite Pt State Rec Area - Kerr Lake,NC,camps,SRA,false,-78.376,36.432
Seymour Johnson AFB Military,NC,camps,MIL,false,-77.967,35.360
Smith Lake Army RV Military - Ft Bragg,NC,camps,MIL,false,-78.922,35.136
Smokemont - Smoky Mountains National Park,NC,camps,NP,false,-83.309,35.553
Snowbird Camping,NC,camps,NF,false,-83.904,35.288
South Mountains State Park,NC,camps,SP,false,-81.610,35.597
Standing Indian,NC,camps,NF,false,-83.532,35.075
Stone Mountain State Park,NC,camps,SP,false,-81.027,36.387
Sunburst,NC,camps,NF,false,-82.942,35.375
Tanglewood Park,NC,camps,CP,false,-80.412,36.014
Tsali,NC,camps,NF,false,-83.589,35.408
Uwharrie Hunt Camp,NC,camps,NF,false,-80.020,35.429
Van Hook Glade,NC,camps,NF,false,-83.247,35.076
Warrior Creek - W. Kerr Scott Reservoir,NC,camps,COE,false,-81.294,36.110
West Morris Mtn.,NC,camps,NF,false,-79.994,35.428
William B. Umstead State Park,NC,camps,SP,false,-78.744,35.842
Woodrun,NC,camps,NF,false,-80.044,35.311
