"place_id","name","eco_id","ecoregion_rank","landscape_score"
"900062","Blue Ridge Parkway National Park",17006,"61","54.87"
"2231","Little River Canyon National Preserve",17008,"28","49.26"
"6707","George Washington Memorial National Parkway",17012,"81","20.76"
"900178","Fire Island National Seashore",17014,"19","39.66"
"5277","Cape Cod National Seashore",17014,"23","37.49"
"7169","Katahdin Woods and Waters National Monument",17016,"69","61.03"
"900003","Acadia National Park",17016,"118","56.11"
"4989","Katahdin Woods and Waters National Monument",17016,"126","55.74"
"1644","Hot Springs National Park",17017,"46","30.44"
"799","Coosa Bald - National Scenic, Botanical Area - Chattahoochee National Forest",17021,"70","55.07"
"1076","Cuyahoga Valley National Park",17025,"67","39.12"
"1240","El Malpais National Monument",17027,"33","59.49"
"900397","Oak Creek Canyon - National Scenic, Botanical Area - Coconino National Forest",17027,"53","57.80"
"4005","Sunset Crater Volcano National Monument",17027,"103","53.48"
"3168","Redwood National Park",17029,"15","61.36"
"2163","Lava Beds National Monument",17031,"55","54.40"
"2060","Cascade-Siskiyou National Monument - Lakeview Klamath Falls Field Office",17031,"83","52.04"
"3820","Big Craggies - National Scenic, Botanical Area - Siskiyou National Forest",17035,"33","55.83"
"2845","Oregon Caves National Monument and Preserve",17035,"96","51.78"
"655","Cape Hatteras National Seashore",17036,"41","47.75"
"2635","North Cascades - National Scenic, Botanical Area - Mt. Baker National Forest",17039,"42","52.57"
"2817","North Cascades - National Scenic, Botanical Area - Okanogan National Forest",17040,"38","52.46"
"3843","Cascade Head - National Scenic, Botanical Area - Siuslaw National Forest",17041,"37","43.47"
"3061","Feather Falls - National Scenic, Botanical Area - Plumas National Forest",17043,"138","45.54"
"1351","Fort Pulaski National Monument",17044,"51","39.53"
"4538","Valles Caldera National Preserve",17045,"99","60.45"
"3394","Browns Canyon National Monument - Royal Gorge Field Office",17045,"190","58.20"
"201","Bandelier National Monument",17045,"193","58.14"
"4044","Río Grande del Norte National Monument - Taos Field Office",17045,"242","57.27"
"3510","Browns Canyon National Monument - San Isabel National Forest",17045,"255","57.14"
"6299","Great Sand Dunes National Park - Great Sand Dunes/San Luis Lakes",17045,"481","52.63"
"1345","Florissant Fossil Beds National Monument",17045,"528","48.93"
"3008","Lower Rampart Range Scenic Zone - National Scenic, Botanical Area - Pike National Forest",17045,"563","42.64"
"714","Cedar Breaks National Monument",17047,"51","62.22"
"173","Ashley Karst National Recreation And Geologic Area - Ashley National Forest",17048,"246","52.07"
"1397","Columbia River Gorge - National Scenic, Botanical Area - Gifford Pinchot National Forest",17049,"83","53.79"
"6267","Columbia River Gorge - National Scenic, Botanical Area - Beacon Rock",17049,"118","44.20"
"2646","Columbia River Gorge - National Scenic, Botanical Area - Mt. Hood National Forest",17049,"120","43.13"
"900130","Cow Creek - Upper Missouri River Breaks National Monument Field Office",17072,"13","56.81"
"900592","Upper Missouri River Breaks National Monument - Upper Missouri River Breaks National Monument Field Office",17072,"18","56.08"
"900562","Theodore Roosevelt National Park",17072,"31","53.41"
"7469","Upper Missouri River Breaks National Monument - Montana State Trust Lands",17072,"32","53.33"
"2378","Malta Geologic - Malta Field Office",17072,"67","49.67"
"3661","Scotts Bluff National Monument",17072,"132","36.34"
"900429","Pinnacles National Park",17085,"22","60.41"
"3071","Point Reyes National Seashore",17085,"50","53.21"
"7441","Carrizo Plain National Monument - Carrizo Plains Ecological Reserve",17085,"61","50.03"
"721","California Coastal National Monument - Central Coast Field Office",17085,"71","46.06"
"900493","Sand to Snow National Monument - Palm Springs/S. Coast Field Office",17086,"17","59.12"
"41","Santa Rosa-San Jacinto Mountains National Monument - Anza-Borrego Desert State Park",17086,"19","58.45"
"2609","Santa Rosa And San Jacinto - Mount San Jacinto State Park",17086,"70","49.80"
"2932","Santa Rosa-San Jacinto Mountains National Monument - Palm Springs/S. Coast Field Office",17086,"84","47.04"
"5066","Santa Rosa-San Jacinto Mountains National Monument - Boyd Deep Canyon Desert Research Center",17086,"97","44.05"
"5057","Santa Rosa-San Jacinto Mountains National Monument - Magnesia Spring Ecological Reserve",17086,"120","36.03"
"1576","Agua Fria National Monument",17088,"24","65.34"
"858","Chiricahua National Monument Wilderness",17088,"51","61.98"
"999","Catalina Highway - National Scenic, Botanical Area - Coronado National Forest",17088,"112","47.18"
"4721","White Sands National Park",17090,"17","54.66"
"7090","Organ Mountains - Desert Peaks National Monument - State Trust Land",17090,"32","49.49"
"6967","Organ Mountains - Desert Peaks National Monument - State Trust Land",17090,"34","49.24"
"2108","Prehistoric Trackways National Monument - Las Cruces District Office",17090,"39","42.60"
"118","Arches National Park",17091,"20","63.31"
"528","Bryce Canyon National Park",17091,"29","62.12"
"900090","Canyons of the Ancients National Monument - Tres Rios Field Office",17091,"38","61.19"
"900349","Mesa Verde National Park",17091,"45","60.44"
"6320","Moab Field Office - Arches National Park",17091,"64","58.71"
"900421","Petrified Forest National Park",17091,"80","57.35"
"2684","Natural Bridges National Monument",17091,"109","56.01"
"4802","Wupatki National Monument",17091,"110","55.85"
"957","Colorado National Monument",17091,"148","51.08"
"1820","John Day Fossil Beds National Monument",17092,"225","50.19"
"5316","Hanford Reach National Monument - Hanford Site",17092,"250","48.04"
"8102","Columbia River Gorge - National Scenic, Botanical Area - Columbia Hills",17092,"285","43.93"
"8098","Columbia River Gorge - National Scenic, Botanical Area - Columbia Hills Natural Area Preserve",17092,"292","42.98"
"1566","Hagerman Fossil Beds National Monument",17092,"293","42.91"
"1494","Great Basin National Park",17093,"33","60.25"
"1788","Mono Basin - National Scenic, Botanical Area - Inyo National Forest",17093,"101","58.07"
"1756","Ancient Bristlecone Pine Forest - National Scenic, Botanical Area - Inyo National Forest",17093,"248","54.03"
"7522","Mono Basin - National Scenic, Botanical Area - Mono Lake Tufa State Reserve",17093,"333","46.05"
"900280","Joshua Tree National Park",17094,"19","60.79"
"900355","Mojave National Preserve - Mojave National Preserve",17094,"30","59.22"
"900454","Red Cliffs - St. George Field Office",17094,"54","57.27"
"900357","Mojave Trails National Monument - Needles Field Office",17094,"72","56.00"
"709","Castle Mountains National Monument",17094,"117","52.83"
"354","Alabama Hills National Scenic Area - National Scenic, Botanical Area - Bishop Field Office",17094,"121","52.77"
"236","Mojave Trails National Monument - Barstow Field Office",17094,"128","52.05"
"3907","Red Cliffs - Snow Canyon State Park",17094,"169","44.44"
"4315","Tule Springs Fossil Beds National Monument",17094,"172","42.25"
"2846","Organ Pipe Cactus National Monument",17095,"18","58.62"
"4311","Ironwood Forest National Monument",17095,"45","55.49"
"2722","Mojave Trails National Monument - Needles Field Office",17095,"65","54.11"
"2335","Coffeepot Botanical ACEC",17095,"70","53.13"
"1354","Fossil Butte National Monument",17097,"24","58.90"
